,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region
87,2017-12-19,ENB,"$1,001 - $15,000",2019-03-11,8000.5,-0.060262684580057166,447.0,sen,Republican,Shelley M Capito,SE
88,2018-09-25,GILD,"$1,001 - $15,000",2019-03-11,8000.5,-0.14201896025155536,167.0,sen,Republican,Shelley M Capito,SE
89,2017-12-20,GDDY,"$1,001 - $15,000",2019-03-11,8000.5,0.47361099989115996,446.0,sen,Republican,Shelley M Capito,SE
90,2017-12-20,CSX,"$1,001 - $15,000",2019-03-11,8000.5,0.31654945645725313,446.0,sen,Republican,Shelley M Capito,SE
91,2018-04-24,NSC,"$1,001 - $15,000",2019-06-10,8000.5,0.4922575523487139,412.0,sen,Republican,Shelley M Capito,SE
92,2018-04-24,XOM,"$1,001 - $15,000",2020-12-31,8000.5,-0.4738991445632505,982.0,sen,Republican,Shelley M Capito,SE
93,2020-06-25,WFC,"$15,001 - $50,000",2020-12-15,32500.5,0.08622574463424935,173.0,sen,Republican,Shelley M Capito,SE
94,2018-04-24,SYY,"$1,001 - $15,000",2020-12-31,8000.5,0.19909578185524748,982.0,sen,Republican,Shelley M Capito,SE
95,2018-04-24,XOM,"$1,001 - $15,000",2020-12-31,8000.5,-0.4738991445632505,982.0,sen,Republican,Shelley M Capito,SE
96,2018-04-24,CLX,"$1,001 - $15,000",2020-12-31,8000.5,0.7564370196330152,982.0,sen,Republican,Shelley M Capito,SE
97,2018-04-24,PII,"$1,001 - $15,000",2020-12-31,8000.5,-0.13033953174067747,982.0,sen,Republican,Shelley M Capito,SE
98,2021-03-24,WFC,"$15,001 - $50,000",2021-05-10,8000.5,0.22245539821207574,47.0,sen,Republican,Shelley M Capito,SE
99,2021-03-24,WFC,"$15,001 - $50,000",2021-05-10,8000.5,0.22245539821207574,47.0,sen,Republican,Shelley M Capito,SE
100,2018-04-24,T,"$1,001 - $15,000",2021-05-25,8000.5,-0.15657141549246653,1127.0,sen,Republican,Shelley M Capito,SE
101,2020-03-03,MSFT,"$1,001 - $15,000",2021-07-26,8000.5,0.7570360309078836,510.0,sen,Republican,Shelley M Capito,SE
102,2017-11-28,SLB,"$1,001 - $15,000",2020-08-18,8000.5,-0.6826135789502693,994.0,sen,Independent,"Angus S King, Jr.",NE
103,2017-11-28,COP,"$1,001 - $15,000",2020-08-18,8000.5,-0.19549170213949493,994.0,sen,Independent,"Angus S King, Jr.",NE
104,2017-11-28,SLB,"$1,001 - $15,000",2020-08-18,8000.5,-0.6826135789502693,994.0,sen,Independent,"Angus S King, Jr.",NE
105,2018-12-06,WY,"$1,001 - $15,000",2018-12-19,8000.5,-0.13238590271052506,13.0,sen,Republican,"Jerry Moran,",MW
106,2018-12-06,LM09.SG,"$1,001 - $15,000",2018-12-19,8000.5,0.014678185702968168,13.0,sen,Republican,"Jerry Moran,",MW
107,2018-12-06,GS,"$1,001 - $15,000",2018-12-19,8000.5,-0.08061272547722985,13.0,sen,Republican,"Jerry Moran,",MW
108,2018-12-06,GOOG,"$1,001 - $15,000",2018-12-19,8000.5,-0.04277972129412146,13.0,sen,Republican,"Jerry Moran,",MW
109,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW
110,2018-12-06,JPM,"$1,001 - $15,000",2020-08-21,8000.5,-0.07481702218769166,624.0,sen,Republican,"Jerry Moran,",MW
111,2018-12-06,XOM,"$1,001 - $15,000",2019-09-25,8000.5,-0.08980738576784568,293.0,sen,Republican,"Jerry Moran,",MW
112,2018-12-06,RDS-B,"$1,001 - $15,000",2020-08-21,8000.5,-0.5389172248363218,624.0,sen,Republican,"Jerry Moran,",MW
113,2018-12-19,GIS,"$1,001 - $15,000",2019-09-25,8000.5,0.40518804775664624,280.0,sen,Republican,"Jerry Moran,",MW
114,2018-12-06,XOM,"$1,001 - $15,000",2019-09-25,8000.5,-0.08980738576784568,293.0,sen,Republican,"Jerry Moran,",MW
115,2018-12-19,CVS,"$1,001 - $15,000",2019-09-25,8000.5,-0.08747625755431343,280.0,sen,Republican,"Jerry Moran,",MW
116,2018-12-19,BAC,"$1,001 - $15,000",2019-09-25,8000.5,0.20967740408750013,280.0,sen,Republican,"Jerry Moran,",MW
117,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW
118,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW
119,2018-12-06,MSFT,"$1,001 - $15,000",2019-09-25,8000.5,0.27630733120585105,293.0,sen,Republican,"Jerry Moran,",MW
120,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW
121,2018-12-06,DIS,"$15,001 - $50,000",2020-08-21,8000.5,0.11466806962641525,624.0,sen,Republican,"Jerry Moran,",MW
122,2018-12-06,VZ,"$1,001 - $15,000",2019-09-25,8000.5,0.037706586736676345,293.0,sen,Republican,"Jerry Moran,",MW
123,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW
124,2018-12-06,XOM,"$1,001 - $15,000",2019-09-25,8000.5,-0.08980738576784568,293.0,sen,Republican,"Jerry Moran,",MW
125,2018-12-06,VZ,"$1,001 - $15,000",2019-09-25,8000.5,0.037706586736676345,293.0,sen,Republican,"Jerry Moran,",MW
126,2018-12-06,USB,"$1,001 - $15,000",2019-09-25,8000.5,0.06495990668641212,293.0,sen,Republican,"Jerry Moran,",MW
127,2018-12-06,DIS,"$15,001 - $50,000",2020-08-21,8000.5,0.11466806962641525,624.0,sen,Republican,"Jerry Moran,",MW
128,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW
129,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW
130,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW
131,2018-12-06,DIS,"$15,001 - $50,000",2020-08-21,8000.5,0.11466806962641525,624.0,sen,Republican,"Jerry Moran,",MW
132,2019-09-25,TXN,"$1,001 - $15,000",2020-08-21,8000.5,0.09855960684070136,331.0,sen,Republican,"Jerry Moran,",MW
133,2018-12-06,JPM,"$1,001 - $15,000",2020-08-21,8000.5,-0.07481702218769166,624.0,sen,Republican,"Jerry Moran,",MW
134,2019-09-25,KO,"$1,001 - $15,000",2020-08-21,8000.5,-0.12719216582138174,331.0,sen,Republican,"Jerry Moran,",MW
135,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW
136,2018-12-19,ALL,"$1,001 - $15,000",2020-08-21,8000.5,0.16683124162502516,611.0,sen,Republican,"Jerry Moran,",MW
137,2018-12-06,ABBV,"$1,001 - $15,000",2020-08-21,8000.5,0.050149437478916335,624.0,sen,Republican,"Jerry Moran,",MW
138,2018-12-06,RDS-B,"$1,001 - $15,000",2020-08-21,8000.5,-0.5389172248363218,624.0,sen,Republican,"Jerry Moran,",MW
139,2020-08-21,BRK-B,"$1,001 - $15,000",2020-08-21,8000.5,0.0,0.0,sen,Republican,"Jerry Moran,",MW
140,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW
141,2019-09-25,MPC,"$1,001 - $15,000",2020-08-21,8000.5,-0.41147131125759945,331.0,sen,Republican,"Jerry Moran,",MW
