,transaction_date,owner,ticker,type,amount,comment,senator,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper
4325,2018-01-19,Joint,USG,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,19,1001,15000
4326,2018-01-18,Joint,CBS,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,18,1001,15000
4327,2018-01-17,Joint,USG,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,17,1001,15000
4328,2018-01-16,Joint,COP,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",2018,1,16,15001,50000
4329,2018-01-16,Joint,AVP,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,16,1001,15000
4330,2018-01-16,Joint,SPY,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",2018,1,16,15001,50000
4331,2018-01-16,Joint,XOM,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",2018,1,16,15001,50000
4332,2018-01-16,Joint,MRK,Purchase,"$100,001 - $250,000",--,"David A Perdue , Jr",2018,1,16,100001,250000
4333,2018-01-16,Joint,FDC,Purchase,"$100,001 - $250,000",--,"David A Perdue , Jr",2018,1,16,100001,250000
4334,2018-01-16,Joint,DISCA,Purchase,"$100,001 - $250,000",--,"David A Perdue , Jr",2018,1,16,100001,250000
4335,2018-01-16,Joint,SPY,Sale (Partial),"$500,001 - $1,000,000",--,"David A Perdue , Jr",2018,1,16,500001,1000000
4336,2018-01-16,Joint,FEYE,Purchase,"$100,001 - $250,000",--,"David A Perdue , Jr",2018,1,16,100001,250000
4337,2018-01-16,Joint,MOS,Purchase,"$100,001 - $250,000",--,"David A Perdue , Jr",2018,1,16,100001,250000
4338,2018-01-16,Joint,HBI,Purchase,"$100,001 - $250,000",--,"David A Perdue , Jr",2018,1,16,100001,250000
4339,2018-01-05,Joint,ENB,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4340,2018-01-05,Joint,TRP,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4341,2018-01-05,Joint,TRGP,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4342,2018-01-05,Joint,WMB,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4343,2018-01-05,Joint,KMI,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4344,2018-01-05,Joint,OKE,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4345,2018-01-05,Joint,CSCO,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4346,2018-01-05,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4347,2018-01-05,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4348,2018-01-05,Joint,USG,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,5,1001,15000
4349,2018-01-04,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,4,1001,15000
4350,2018-01-24,Self,JETS,Purchase,"$50,001 - $100,000",--,John Hoeven,2018,1,24,50001,100000
4351,2018-01-05,Spouse,OFC,Purchase,"$1,001 - $15,000",--,Gary C Peters,2018,1,5,1001,15000
4356,2018-01-16,Self,LSCC,Sale (Partial),"$1,001 - $15,000",Less than $1000.,John F Reed,2018,1,16,1001,15000
4357,2018-01-03,Spouse,DVN,Purchase,"$1,001 - $15,000",jt,Pat Roberts,2018,1,3,1001,15000
4359,2018-01-25,Spouse,AMZN,Purchase,"$1,001 - $15,000",555,Pat Roberts,2018,1,25,1001,15000
4360,2018-01-17,Spouse,CELG,Purchase,"$1,001 - $15,000",seo,Pat Roberts,2018,1,17,1001,15000
4361,2018-01-05,Spouse,BAC,Purchase,"$1,001 - $15,000",Sep,Pat Roberts,2018,1,5,1001,15000
4362,2018-01-17,Spouse,LMT,Purchase,"$1,001 - $15,000",R,Pat Roberts,2018,1,17,1001,15000
4363,2018-01-04,Spouse,JPM,Purchase,"$15,001 - $50,000",R,Pat Roberts,2018,1,4,15001,50000
4364,2018-01-16,Spouse,CUTR,Sale (Partial),"$250,001 - $500,000",--,Tina Smith,2018,1,16,250001,500000
4365,2018-01-05,Joint,ENTL,Sale (Full),"$50,001 - $100,000",--,Tina Smith,2018,1,5,50001,100000
4369,2017-12-26,Self,DAL,Purchase,"$100,001 - $250,000",--,James M Inhofe,2017,12,26,100001,250000
4370,2018-01-11,Self,UNH,Purchase,"$50,001 - $100,000",--,James M Inhofe,2018,1,11,50001,100000
4371,2017-12-29,Spouse,AAPL,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,2017,12,29,1001,15000
4372,2018-01-12,Self,LSCC,Sale (Partial),"$1,001 - $15,000",--,John F Reed,2018,1,12,1001,15000
4373,2018-01-11,Joint,HACK,Sale (Full),"$1,001 - $15,000",--,John F Reed,2018,1,11,1001,15000
4374,2018-01-11,Joint,PEP,Sale (Full),"$1,001 - $15,000",Transaction was less than $1000.,John F Reed,2018,1,11,1001,15000
4375,2018-01-11,Joint,CELG,Sale (Full),"$1,001 - $15,000",--,John F Reed,2018,1,11,1001,15000
4376,2018-01-11,Joint,UNFI,Sale (Full),"$1,001 - $15,000",Transaction was less than $1000,John F Reed,2018,1,11,1001,15000
4377,2017-12-20,Spouse,GDDY,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2017,12,20,1001,15000
4378,2017-12-20,Spouse,CSX,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2017,12,20,1001,15000
4379,2017-12-19,Spouse,ENB,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2017,12,19,1001,15000
4380,2017-12-19,Spouse,SGAPY,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2017,12,19,1001,15000
4381,2017-12-19,Spouse,SSDOY,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2017,12,19,1001,15000
