,last_name,first_name,middle_name,gender,type,party,state,district,senate_class,name
6752,Cooper,Allen,Foster,M,rep,Republican,PA,23.0,,Allen Foster Cooper
6753,Coudrey,Harry,Marcy,M,rep,Republican,MO,12.0,,Harry Marcy Coudrey
6754,Cowles,Charles,Holden,M,rep,Republican,NC,8.0,,Charles Holden Cowles
6755,Craig,William,Benjamin,M,rep,Democrat,AL,4.0,,William Benjamin Craig
6757,Creager,Charles,Edward,M,rep,Republican,OK,3.0,,Charles Edward Creager
6758,Crow,Charles,Augustus,M,rep,Republican,MO,14.0,,Charles Augustus Crow
6759,Cushman,Francis,Wellington,M,rep,Republican,WA,2.0,,Francis Wellington Cushman
6760,Dawson,Albert,Foster,M,rep,Republican,IA,2.0,,Albert Foster Dawson
6761,De Armond,David,Albaugh,M,rep,Democrat,MO,6.0,,David Albaugh De Armond
6762,Denby,Edwin,,M,rep,Republican,MI,1.0,,Edwin Denby
6763,Diekema,Gerrit,John,M,rep,Republican,MI,5.0,,Gerrit John Diekema
6764,Douglas,Albert,,M,rep,Republican,OH,11.0,,Albert Douglas
6765,Durey,Cyrus,,M,rep,Republican,NY,25.0,,Cyrus Durey
6766,Edwards,Don,Calvin,M,rep,Republican,KY,11.0,,Don Calvin Edwards
6767,Ellis,William,Russell,M,rep,Republican,OR,2.0,,William Russell Ellis
6768,Elvins,Politte,,M,rep,Republican,MO,13.0,,Politte Elvins
6769,Englebright,William,Fellows,M,rep,Republican,CA,1.0,,William Fellows Englebright
6770,Fassett,Jacob,Sloat,M,rep,Republican,NY,33.0,,Jacob Sloat Fassett
6771,Fish,Hamilton,,M,rep,Republican,NY,21.0,,Hamilton Fish
6772,Foelker,Otto,Godfrey,M,rep,Republican,NY,3.0,,Otto Godfrey Foelker
6773,Foss,Eugene,Noble,M,rep,Democrat,MA,14.0,,Eugene Noble Foss
6774,Foulkrod,William,Walker,M,rep,Republican,PA,5.0,,William Walker Foulkrod
6775,Fowler,Charles,Newell,M,rep,Republican,NJ,5.0,,Charles Newell Fowler
6776,Gaines,Joseph,Holt,M,rep,Republican,WV,3.0,,Joseph Holt Gaines
6777,Gardner,Washington,,M,rep,Republican,MI,3.0,,Washington Gardner
6778,Garner,Alfred,Buckwalter,M,rep,Republican,PA,12.0,,Alfred Buckwalter Garner
6779,Gill,John,,M,rep,Democrat,MD,4.0,,John Gill
6780,Gillespie,Oscar,William,M,rep,Democrat,TX,12.0,,Oscar William Gillespie
6781,Gilmore,Samuel,Louis,M,rep,Democrat,LA,2.0,,Samuel Louis Gilmore
6782,Goebel,Herman,Philip,M,rep,Republican,OH,2.0,,Herman Philip Goebel
6784,Graff,Joseph,Verdi,M,rep,Republican,IL,16.0,,Joseph Verdi Graff
6785,Graham,William,Harrison,M,rep,Republican,PA,29.0,,William Harrison Graham
6786,Grant,John,Gaston,M,rep,Republican,NC,10.0,,John Gaston Grant
6787,Griggs,James,Mathews,M,rep,Democrat,GA,2.0,,James Mathews Griggs
6788,Hamer,Thomas,Ray,M,rep,Republican,ID,1.0,,Thomas Ray Hamer
6789,Havens,James,Smith,M,rep,Democrat,NY,32.0,,James Smith Havens
6791,Hinshaw,Edmund,Howard,M,rep,Republican,NE,4.0,,Edmund Howard Hinshaw
6792,Howard,William,Marcellus,M,rep,Democrat,GA,8.0,,William Marcellus Howard
6793,Howell,Benjamin,Franklin,M,rep,Republican,NJ,3.0,,Benjamin Franklin Howell
6794,Hubbard,William,Pallister,M,rep,Republican,WV,1.0,,William Pallister Hubbard
6795,Huff,George,Franklin,M,rep,Republican,PA,22.0,,George Franklin Huff
6797,Hull,John,Albert Tiffin,M,rep,Republican,IA,7.0,,John Albert Tiffin Hull
6798,Jamieson,William,Darius,M,rep,Democrat,IA,8.0,,William Darius Jamieson
6799,Johnson,Adna,Romulus,M,rep,Republican,OH,10.0,,Adna Romulus Johnson
6802,Joyce,James,,M,rep,Republican,OH,15.0,,James Joyce
6803,Keifer,Joseph,Warren,M,rep,Republican,OH,7.0,,Joseph Warren Keifer
6804,Keliher,John,Austin,M,rep,Democrat,MA,9.0,,John Austin Keliher
6805,Kennedy,James,,M,rep,Republican,OH,18.0,,James Kennedy
6806,Knapp,Charles,Luman,M,rep,Republican,NY,28.0,,Charles Luman Knapp
6807,Kronmiller,John,,M,rep,Republican,MD,3.0,,John Kronmiller
6808,Küstermann,Gustav,,M,rep,Republican,WI,9.0,,Gustav Küstermann
6809,Larrinaga,Tulio,,M,rep,Unionist,PR,0.0,,Tulio Larrinaga
6810,Lassiter,Francis,Rives,M,rep,Democrat,VA,4.0,,Francis Rives Lassiter
6811,Law,Charles,Blakeslee,M,rep,Republican,NY,4.0,,Charles Blakeslee Law
6812,Lively,Robert,Maclin,M,rep,Democrat,TX,3.0,,Robert Maclin Lively
6813,Livingston,Leonidas,Felix,M,rep,Democrat,GA,5.0,,Leonidas Felix Livingston
6815,Lovering,William,Croad,M,rep,Republican,MA,14.0,,William Croad Lovering
6816,Lowden,Frank,Orren,M,rep,Republican,IL,13.0,,Frank Orren Lowden
6817,Lundin,Frederick,,M,rep,Republican,IL,7.0,,Frederick Lundin
6818,Massey,Zachary,David,M,rep,Republican,TN,1.0,,Zachary David Massey
6819,Maynard,Harry,Lee,M,rep,Democrat,VA,2.0,,Harry Lee Maynard
6820,McCredie,William,Wallace,M,rep,Republican,WA,2.0,,William Wallace McCredie
6822,McKinlay,Duncan,E.,M,rep,Republican,CA,2.0,,Duncan E. McKinlay
6823,McLachlan,James,,M,rep,Republican,CA,7.0,,James McLachlan
6824,Miller,James,Monroe,M,rep,Republican,KS,4.0,,James Monroe Miller
6825,Millington,Charles,Stephen,M,rep,Republican,NY,27.0,,Charles Stephen Millington
6826,Morehead,John,Motley,M,rep,Republican,NC,5.0,,John Motley Morehead
6827,Morgan,Charles,Henry,M,rep,Republican,MO,15.0,,Charles Henry Morgan
6828,Moxley,William,James,M,rep,Republican,IL,6.0,,William James Moxley
6829,Mudd,Sydney,Emanuel,M,rep,Republican,MD,5.0,,Sydney Emanuel Mudd
6830,Murphy,Arthur,Phillips,M,rep,Republican,MO,16.0,,Arthur Phillips Murphy
6831,Nicholls,Thomas,David,M,rep,Democrat,PA,10.0,,Thomas David Nicholls
6832,O’Connell,Joseph,Francis,M,rep,Democrat,MA,10.0,,Joseph Francis O’Connell
6833,Ocampo,Pablo,,M,rep,,PI,0.0,,Pablo Ocampo
6834,Olcott,Jacob,Van Vechten,M,rep,Republican,NY,15.0,,Jacob Van Vechten Olcott
6835,Palmer,Henry,Wilbur,M,rep,Republican,PA,11.0,,Henry Wilbur Palmer
6836,Parsons,Herbert,,M,rep,Republican,NY,13.0,,Herbert Parsons
6837,Patterson,James,O’Hanlon,M,rep,Democrat,SC,2.0,,James O’Hanlon Patterson
6838,Pearre,George,Alexander,M,rep,Republican,MD,6.0,,George Alexander Pearre
6840,Perkins,James,Breck,M,rep,Republican,NY,32.0,,James Breck Perkins
6841,Pratt,Charles,Clarence,M,rep,Republican,PA,14.0,,Charles Clarence Pratt
6842,Reeder,William,Augustus,M,rep,Republican,KS,6.0,,William Augustus Reeder
6843,Reid,Charles,Chester,M,rep,Democrat,AR,5.0,,Charles Chester Reid
6844,Reynolds,John,Merriman,M,rep,Republican,PA,19.0,,John Merriman Reynolds
